company_id,type,rule_id,text,confidence_pct
ABB,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
ABB,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ABB,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ABB,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring.,90
ADANIENSOL,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
ADANIENSOL,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
ADANIENSOL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ADANIENSOL,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ADANIENSOL,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIENT,con,C2,Negative free cash flow raises concern about cash generation quality.,85
ADANIENT,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
ADANIENT,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
ADANIENT,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ADANIENT,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
ADANIENT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring.,90
ADANIGREEN,con,C2,Negative free cash flow raises concern about cash generation quality.,85
ADANIGREEN,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
ADANIGREEN,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ADANIGREEN,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
ADANIPORTS,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ADANIPORTS,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ADANIPORTS,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPOWER,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ADANIPOWER,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ADANIPOWER,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
AMBUJACEM,con,C2,Negative free cash flow raises concern about cash generation quality.,85
AMBUJACEM,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
APOLLOHOSP,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
APOLLOHOSP,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
APOLLOHOSP,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
APOLLOHOSP,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
APOLLOHOSP,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ASIANPAINT,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
ASIANPAINT,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
ASIANPAINT,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ASIANPAINT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ATGL,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
ATGL,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
ATGL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
ATGL,pro,P4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,88
ATGL,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
ATGL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ATGL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
AXISBANK,con,C2,Negative free cash flow raises concern about cash generation quality.,85
AXISBANK,con,C4,Return on capital employed below 10% suggests weak capital efficiency.,88
AXISBANK,con,C8,Debt-to-equity ratio is elevated and should be monitored.,80
AXISBANK,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
AXISBANK,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value.,92
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJ-AUTO,con,C0,Some financial metrics require continued monitoring despite overall business stability.,65
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,P10,Return on equity improving for three consecutive years shows strengthening business quality.,90
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86
BAJAJ-AUTO,pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,90
